filename;cvc4;z3
verify_inv_bvult_bvurem1_4bit26.smt2;unsat;unsat
verify_inv_bvugt_bvashr1_4bit30.smt2;unsat;unsat
verify_inv_ne_bvashr0_4bit18.smt2;unsat;unsat
verify_inv_bvslt_bvnot_4bit6.smt2;unsat;unsat
verify_inv_bvsge_bvor_4bit12.smt2;unsat;unsat
verify_inv_ne_bvadd_4bit27.smt2;unsat;unsat
verify_inv_bvule_bvashr0_4bit6.smt2;unsat;unsat
verify_inv_bvsle_bvashr1_4bit29.smt2;unsat;unsat
verify_inv_bvslt_bvneg_4bit23.smt2;unsat;unsat
verify_inv_bvslt_bvashr0_4bit8.smt2;unsat;unsat
verify_inv_bvugt_bvurem1_4bit21.smt2;unsat;unsat
verify_inv_bvult_bvnot_4bit22.smt2;unsat;unsat
verify_inv_bvsge_bvand_4bit29.smt2;unsat;unsat
verify_inv_bvule_bvshl1_4bit23.smt2;unsat;unsat
verify_inv_bvsge_bvashr0_4bit30.smt2;unsat;unsat
verify_inv_bvsle_bvashr1_4bit9.smt2;unsat;unsat
verify_inv_bvsgt_bvadd_4bit15.smt2;unsat;unsat
verify_inv_bvsle_bvurem1_4bit18.smt2;unsat;unsat
verify_inv_bvult_bvurem0_4bit14.smt2;unsat;unsat
verify_inv_bvslt_bvlshr1_4bit14.smt2;unsat;unsat
verify_inv_bvuge_bvlshr1_4bit31.smt2;unsat;unsat
verify_inv_bvsle_bvurem0_4bit26.smt2;unsat;unsat
verify_inv_bvsge_bvurem0_4bit28.smt2;unsat;unsat
verify_inv_eq_bvashr0_4bit23.smt2;unsat;unsat
verify_inv_bvuge_bvneg_4bit19.smt2;unsat;unsat
verify_inv_bvsgt_bvudiv0_4bit10.smt2;unsat;unsat
verify_inv_bvule_bvadd_4bit17.smt2;unsat;unsat
verify_inv_bvsle_bvadd_4bit11.smt2;unsat;unsat
verify_inv_ne_bvlshr0_4bit29.smt2;unsat;unsat
verify_inv_ne_bvnot_4bit7.smt2;unsat;unsat
verify_inv_bvsge_bvadd_4bit27.smt2;unsat;unsat
verify_inv_bvult_bvor_4bit28.smt2;unsat;unsat
verify_inv_bvsgt_bvor_4bit23.smt2;unsat;unsat
verify_inv_bvult_bvlshr0_4bit5.smt2;unsat;unsat
verify_inv_bvuge_bvurem0_4bit16.smt2;unsat;unsat
verify_inv_bvuge_bvlshr1_4bit24.smt2;unsat;unsat
verify_inv_bvule_bvshl1_4bit25.smt2;unsat;unsat
verify_inv_bvslt_bvshl0_4bit17.smt2;unsat;unsat
verify_inv_ne_bvlshr0_4bit13.smt2;unsat;unsat
verify_inv_bvuge_bvashr1_4bit5.smt2;unsat;unsat
verify_inv_bvule_bvshl1_4bit21.smt2;unsat;unsat
verify_inv_ne_bvurem0_4bit12.smt2;unsat;unsat
verify_inv_bvule_bvurem0_4bit19.smt2;unsat;unsat
verify_inv_bvule_bvmul_4bit4.smt2;unsat;unsat
verify_inv_bvsgt_bvlshr1_4bit16.smt2;sat;sat
verify_inv_ne_bvneg_4bit10.smt2;unsat;unsat
verify_inv_bvugt_bvashr1_4bit29.smt2;unsat;unsat
verify_inv_bvsgt_bvand_4bit18.smt2;unsat;unsat
verify_inv_bvslt_bvudiv1_4bit23.smt2;sat;sat
verify_inv_bvult_bvashr0_4bit12.smt2;unsat;unsat
verify_inv_bvslt_bvadd_4bit7.smt2;unsat;unsat
verify_inv_bvule_bvmul_4bit26.smt2;unsat;unsat
verify_inv_bvuge_bvshl0_4bit7.smt2;unsat;unsat
verify_inv_bvult_bvshl0_4bit21.smt2;unsat;unsat
verify_inv_bvugt_bvashr1_4bit19.smt2;unsat;unsat
verify_inv_bvule_bvudiv0_4bit30.smt2;unsat;unsat
verify_inv_bvslt_bvashr0_4bit10.smt2;unsat;unsat
verify_inv_ne_bvnot_4bit15.smt2;unsat;unsat
verify_inv_bvule_bvlshr0_4bit7.smt2;unsat;unsat
verify_inv_ne_bvmul_4bit17.smt2;unsat;unsat
verify_inv_eq_bvurem1_4bit16.smt2;unsat;unsat
verify_inv_bvult_bvnot_4bit24.smt2;unsat;unsat
verify_inv_ne_bvneg_4bit23.smt2;unsat;unsat
verify_inv_bvsge_bvurem0_4bit10.smt2;unsat;unsat
verify_inv_eq_bvor_4bit15.smt2;unsat;unsat
verify_inv_bvuge_bvand_4bit27.smt2;unsat;unsat
verify_inv_bvule_bvnot_4bit21.smt2;unsat;unsat
verify_inv_bvult_bvshl0_4bit31.smt2;unsat;unsat
verify_inv_bvsle_bvneg_4bit13.smt2;unsat;unsat
verify_inv_bvsle_bvashr1_4bit6.smt2;unsat;unsat
verify_inv_bvsgt_bvneg_4bit11.smt2;unsat;unsat
verify_inv_bvugt_bvneg_4bit17.smt2;unsat;unsat
verify_inv_bvsle_bvnot_4bit13.smt2;unsat;unsat
verify_inv_ne_bvshl0_4bit21.smt2;unsat;unsat
verify_inv_eq_bvshl0_4bit21.smt2;unsat;unsat
verify_inv_bvule_bvurem1_4bit20.smt2;unsat;unsat
verify_inv_bvsge_bvlshr0_4bit31.smt2;unsat;unsat
verify_inv_ne_bvshl0_4bit25.smt2;unsat;unsat
verify_inv_ne_bvurem1_4bit14.smt2;unsat;unsat
verify_inv_bvsge_bvlshr1_4bit4.smt2;unsat;unsat
verify_inv_bvult_bvand_4bit14.smt2;unsat;unsat
